S/NO.,ENTRYDATETIME,IU,CASHCARD,VEHICLE,CARDTYPE,AMOUNT,EXITDATETIME
775,2022-06-02 07:44:00,C13472039149,1.11E+15,,Hourly         ,$29.44 ,2022-06-02 18:41:00
780,2022-06-02 07:48:00,C13474722405,0,,Hourly         ,$0.00 ,2022-06-02 16:03:00
778,2022-06-02 07:48:00,C13060464133,1.11E+15,,Hourly         ,$1.50 ,2022-06-02 18:11:00
782,2022-06-02 07:50:00,C13471968078,0,,Season         ,$0.00 ,2022-06-02 19:00:00
784,2022-06-02 07:53:00,C13467427368,0,,Season         ,$0.00 ,2022-06-02 07:59:00
785,2022-06-02 07:54:00,C13059808448,0,,Season         ,$0.00 ,2022-06-02 20:12:00
787,2022-06-02 07:55:00,C13470682873,0,,Season         ,$0.00 ,2022-06-02 18:11:00
789,2022-06-02 07:57:00,C13472708788,0,,Hourly         ,$0.00 ,2022-06-02 18:34:00
792,2022-06-02 08:01:00,C13469795041,0,,Season         ,$0.00 ,2022-06-02 18:00:00
794,2022-06-02 08:01:00,C13473192517,1.11E+15,,Hourly         ,$1.90 ,2022-06-02 09:09:00
800,2022-06-02 08:05:00,C12365714379,0,,               ,$0.00 ,2022-06-02 22:03:00
799,2022-06-02 08:05:00,C13473115462,0,,Season         ,$0.00 ,2022-06-02 14:29:00
796,2022-06-02 08:05:00,C13565758101,0,,Season         ,$0.00 ,2022-06-02 22:41:00
802,2022-06-02 08:08:00,C13565784104,0,,Season         ,$0.00 ,2022-06-02 20:04:00
805,2022-06-02 08:14:00,C13472055388,0,,Season         ,$0.00 ,2022-06-02 18:18:00
808,2022-06-02 08:15:00,C13471847790,0,,Season         ,$0.00 ,2022-06-02 16:02:00
810,2022-06-02 08:16:00,C13472905803,0,,Season         ,$0.00 ,2022-06-02 21:18:00
813,2022-06-02 08:18:00,C13468907756,0,,Season         ,$0.00 ,2022-06-02 18:24:00
814,2022-06-02 08:18:00,C13565928217,1.11E+15,,Hourly         ,$0.84 ,2022-06-02 08:38:00
815,2022-06-02 08:20:00,C13066829345,1.11E+15,,Hourly         ,$1.50 ,2022-06-02 20:14:00
817,2022-06-02 08:23:00,C13565755371,0,,Season         ,$0.00 ,2022-06-02 19:13:00
821,2022-06-02 08:24:00,C13566270262,0,,Season         ,$0.00 ,2022-06-02 17:44:00
820,2022-06-02 08:24:00,C13471654882,0,,Season         ,$0.00 ,2022-06-02 17:54:00
823,2022-06-02 08:25:00,C13474902338,1.11E+15,,Hourly         ,$19.46 ,2022-06-02 18:06:00
826,2022-06-02 08:27:00,C13474871862,0,,Season         ,$0.00 ,2022-06-02 15:16:00
830,2022-06-02 08:31:00,C13566138179,1.11E+15,,Hourly         ,$9.81 ,2022-06-02 13:40:00
833,2022-06-02 08:37:00,C13470921835,0,,Season         ,$0.00 ,2022-06-02 18:19:00
834,2022-06-02 08:37:00,C13475045599,0,,Season         ,$0.00 ,2022-06-02 18:26:00
839,2022-06-02 08:39:00,C13474577298,0,,Season         ,$0.00 ,2022-06-02 18:38:00
840,2022-06-02 08:39:00,C13470704275,0,,Season         ,$0.00 ,2022-06-02 21:07:00
843,2022-06-02 08:43:00,C13472402899,0,,Season         ,$0.00 ,2022-06-02 17:05:00
845,2022-06-02 08:44:00,C13565731874,0,,Hourly         ,$0.00 ,2022-06-02 21:59:00
848,2022-06-02 08:44:00,C13468263933,0,,Season         ,$0.00 ,2022-06-02 14:12:00
850,2022-06-02 08:45:00,C13388637773,1.11E+15,,Hourly         ,$0.44 ,2022-06-02 08:56:00
852,2022-06-02 08:49:00,C13470347555,0,,Season         ,$0.00 ,2022-06-02 10:48:00
854,2022-06-02 08:51:00,C13473203991,0,,Season         ,$0.00 ,2022-06-02 17:24:00
858,2022-06-02 08:55:00,C13565716703,0,,Season         ,$0.00 ,2022-06-02 11:20:00
862,2022-06-02 08:56:00,C13470168117,0,,Season         ,$0.00 ,2022-06-02 20:41:00
859,2022-06-02 08:56:00,C13472055229,0,,Season         ,$0.00 ,2022-06-02 21:22:00
